setting	config_id	quant	normalization	imputation	de_method	log2fc	fdr_method	project_count	eligible_projects	eligible_project_rate	failed_projects	failure_rate	median_benchmark_rank	mean_benchmark_rank	rank_iqr	win_frequency
DIA	directlfq__limma|bh|none|mindet|fc0.5|a0.05|none|k2	directlfq	none	mindet	limma	0.5	bh	5	5	1.0	0	0.0	70.0	76.46000000000001	27.499999999999993	0.0
DIA	pibaq__deqms|bh|none|minprob|fc0.5|a0.05|none|k2	pibaq	none	minprob	deqms	0.5	bh	5	5	1.0	0	0.0	71.8	102.96	103.99999999999999	0.0
DIA	pibaq__limma|bh|none|qrilc|fc0.5|a0.05|none|k2	pibaq	none	qrilc	limma	0.5	bh	5	5	1.0	0	0.0	76.6	108.84	124.0	0.0
DIA	directlfq__deqms|bh|median|qrilc|fc0.5|a0.05|none|k2	directlfq	median	qrilc	deqms	0.5	bh	5	5	1.0	0	0.0	77.6	90.16	71.8	0.0
DIA	directlfq__deqms|bh|median|minprob|fc0.5|a0.05|none|k2	directlfq	median	minprob	deqms	0.5	bh	5	5	1.0	0	0.0	79.0	99.44000000000001	60.599999999999994	0.0
DIA	directlfq__deqms|bh|median|mindet|fc0.5|a0.05|none|k2	directlfq	median	mindet	deqms	0.5	bh	5	5	1.0	0	0.0	81.0	95.8	59.0	0.0
DIA	directlfq__deqms|bh|median|knn|fc0.5|a0.05|none|k2	directlfq	median	knn	deqms	0.5	bh	5	5	1.0	0	0.0	81.4	93.46000000000001	62.30000000000001	0.0
DIA	maxlfq__limma|bh|none|knn|fc0.5|a0.05|none|k2	maxlfq	none	knn	limma	0.5	bh	5	5	1.0	0	0.0	81.5	77.72	14.0	0.0
DIA	pibaq__deqms|bh|none|impseq|fc0.5|a0.05|none|k2	pibaq	none	impseq	deqms	0.5	bh	5	5	1.0	0	0.0	83.0	100.64	59.400000000000006	0.0
DIA	top3__deqms|bh|none|qrilc|fc0.5|a0.05|none|k2	top3	none	qrilc	deqms	0.5	bh	5	5	1.0	0	0.0	83.2	133.11999999999998	115.0	0.0
DIA	directlfq__deqms|bh|median|seqknn|fc0.5|a0.05|none|k2	directlfq	median	seqknn	deqms	0.5	bh	5	5	1.0	0	0.0	83.4	92.17999999999999	63.3	0.0
DIA	maxlfq__limma|bh|none|none|fc0.5|a0.05|none|k2	maxlfq	none	none	limma	0.5	bh	5	5	1.0	0	0.0	84.8	84.06	12.299999999999997	0.0
DIA	directlfq__limma|bh|none|knn|fc0.5|a0.05|none|k2	directlfq	none	knn	limma	0.5	bh	5	5	1.0	0	0.0	85.6	84.4	23.299999999999997	0.0
DIA	directlfq__limma|bh|none|qrilc|fc0.5|a0.05|none|k2	directlfq	none	qrilc	limma	0.5	bh	5	5	1.0	0	0.0	85.8	82.22	37.900000000000006	0.0
DIA	directlfq__deqms|bh|median|none|fc0.5|a0.05|none|k2	directlfq	median	none	deqms	0.5	bh	5	5	1.0	0	0.0	85.8	87.52000000000001	51.0	0.0
DIA	maxlfq__limma|bh|none|seqknn|fc0.5|a0.05|none|k2	maxlfq	none	seqknn	limma	0.5	bh	5	5	1.0	0	0.0	86.6	86.64	14.899999999999991	0.0
DIA	directlfq__limma|bh|none|seqknn|fc0.5|a0.05|none|k2	directlfq	none	seqknn	limma	0.5	bh	5	5	1.0	0	0.0	87.4	88.4	23.700000000000003	0.0
DIA	directlfq__limma|bh|none|minprob|fc0.5|a0.05|none|k2	directlfq	none	minprob	limma	0.5	bh	5	5	1.0	0	0.0	88.4	82.3	31.799999999999997	0.0
DIA	directlfq__limma|bh|none|impseqrob|fc0.5|a0.05|none|k2	directlfq	none	impseqrob	limma	0.5	bh	5	5	1.0	0	0.0	89.2	95.52000000000001	16.30000000000001	0.0
DIA	pibaq__limma|bh|none|minprob|fc0.5|a0.05|none|k2	pibaq	none	minprob	limma	0.5	bh	5	5	1.0	0	0.0	89.6	107.44000000000001	113.0	0.0
DIA	pibaq__limma|bh|none|mindet|fc0.5|a0.05|none|k2	pibaq	none	mindet	limma	0.5	bh	5	5	1.0	0	0.0	90.6	116.55999999999999	79.39999999999999	0.0
DIA	maxlfq__limma|bh|none|impseqrob|fc0.5|a0.05|none|k2	maxlfq	none	impseqrob	limma	0.5	bh	5	5	1.0	0	0.0	91.5	97.67999999999999	20.400000000000006	0.0
DIA	top3__deqms|bh|none|minprob|fc0.5|a0.05|none|k2	top3	none	minprob	deqms	0.5	bh	5	5	1.0	0	0.0	92.2	132.72	116.19999999999999	0.0
DIA	directlfq__deqms|bh|median|impseq|fc0.5|a0.05|none|k2	directlfq	median	impseq	deqms	0.5	bh	5	5	1.0	0	0.0	93.2	97.88	63.60000000000001	0.0
DIA	directlfq__deqms|bh|median|impseqrob|fc0.5|a0.05|none|k2	directlfq	median	impseqrob	deqms	0.5	bh	5	5	1.0	0	0.0	93.6	94.88000000000002	55.20000000000002	0.0
DIA	directlfq__limma|bh|none|none|fc0.5|a0.05|none|k2	directlfq	none	none	limma	0.5	bh	5	5	1.0	0	0.0	94.7	87.76	27.400000000000006	0.0
DIA	top3__deqms|bh|none|knn|fc0.5|a0.05|none|k2	top3	none	knn	deqms	0.5	bh	5	5	1.0	0	0.0	94.8	121.44000000000001	99.60000000000001	0.0
DIA	top3__deqms|bh|none|none|fc0.5|a0.05|none|k2	top3	none	none	deqms	0.5	bh	5	5	1.0	0	0.0	95.4	123.4	105.4	0.0
DIA	maxlfq__deqms|bh|median|qrilc|fc0.5|a0.05|none|k2	maxlfq	median	qrilc	deqms	0.5	bh	5	5	1.0	0	0.0	98.8	115.12	86.4	0.0
DIA	maxlfq__deqms|bh|median|minprob|fc0.5|a0.05|none|k2	maxlfq	median	minprob	deqms	0.5	bh	5	5	1.0	0	0.0	98.8	119.39999999999998	71.6	0.0
DIA	maxlfq__deqms|bh|median|mindet|fc0.5|a0.05|none|k2	maxlfq	median	mindet	deqms	0.5	bh	5	5	1.0	0	0.0	99.0	116.4	51.20000000000002	0.0
DIA	pibaq__limma|bh|none|impseq|fc0.5|a0.05|none|k2	pibaq	none	impseq	limma	0.5	bh	5	5	1.0	0	0.0	101.2	122.47999999999999	58.80000000000001	0.0
DIA	maxlfq__deqms|bh|median|knn|fc0.5|a0.05|none|k2	maxlfq	median	knn	deqms	0.5	bh	5	5	1.0	0	0.0	101.4	97.74	65.50000000000001	0.0
DIA	pibaq__deqms|bh|none|impseqrob|fc0.5|a0.05|none|k2	pibaq	none	impseqrob	deqms	0.5	bh	5	5	1.0	0	0.0	101.6	106.48000000000002	35.0	0.0
DIA	directlfq__limma|bh|none|impseq|fc0.5|a0.05|none|k2	directlfq	none	impseq	limma	0.5	bh	5	5	1.0	0	0.0	101.8	100.17999999999999	13.100000000000009	0.0
DIA	sum__limma|bh|none|impseq|fc0.5|a0.05|none|k2	sum	none	impseq	limma	0.5	bh	5	5	1.0	0	0.0	102.2	113.05999999999999	63.80000000000001	0.0
DIA	top3__deqms|bh|none|mindet|fc0.5|a0.05|none|k2	top3	none	mindet	deqms	0.5	bh	5	5	1.0	0	0.0	104.0	128.72	107.00000000000001	0.0
DIA	maxlfq__limma|bh|none|impseq|fc0.5|a0.05|none|k2	maxlfq	none	impseq	limma	0.5	bh	5	5	1.0	0	0.0	104.1	108.2	27.89999999999999	0.0
DIA	top3__deqms|bh|none|impseq|fc0.5|a0.05|none|k2	top3	none	impseq	deqms	0.5	bh	5	5	1.0	0	0.0	104.6	135.76	77.39999999999999	0.0
DIA	sum__limma|bh|none|qrilc|fc0.5|a0.05|none|k2	sum	none	qrilc	limma	0.5	bh	5	5	1.0	0	0.0	105.5	113.86000000000001	90.00000000000001	0.0
DIA	sum__limma|bh|none|knn|fc0.5|a0.05|none|k2	sum	none	knn	limma	0.5	bh	5	5	1.0	0	0.0	106.5	99.97999999999999	54.80000000000001	0.0
DIA	top3__deqms|bh|none|impseqrob|fc0.5|a0.05|none|k2	top3	none	impseqrob	deqms	0.5	bh	5	5	1.0	0	0.0	107.2	134.66	88.0	0.0
DIA	maxlfq__deqms|bh|median|seqknn|fc0.5|a0.05|none|k2	maxlfq	median	seqknn	deqms	0.5	bh	5	5	1.0	0	0.0	107.8	101.14	38.69999999999999	0.0
DIA	maxlfq__deqms|bh|median|none|fc0.5|a0.05|none|k2	maxlfq	median	none	deqms	0.5	bh	5	5	1.0	0	0.0	108.4	100.7	67.69999999999999	0.0
DIA	sum__limma|bh|none|minprob|fc0.5|a0.05|none|k2	sum	none	minprob	limma	0.5	bh	5	5	1.0	0	0.0	110.7	108.94000000000001	95.00000000000001	0.0
DIA	maxlfq__deqms|bh|median|impseqrob|fc0.5|a0.05|none|k2	maxlfq	median	impseqrob	deqms	0.5	bh	5	5	1.0	0	0.0	111.0	107.18000000000002	65.89999999999999	0.0
DIA	sum__limma|bh|none|seqknn|fc0.5|a0.05|none|k2	sum	none	seqknn	limma	0.5	bh	5	5	1.0	0	0.0	112.1	103.92	51.60000000000001	0.0
DIA	pibaq__limma|bh|none|none|fc0.5|a0.05|none|k2	pibaq	none	none	limma	0.5	bh	5	5	1.0	0	0.0	113.2	97.0	91.60000000000001	0.0
DIA	pibaq__limma|bh|none|impseqrob|fc0.5|a0.05|none|k2	pibaq	none	impseqrob	limma	0.5	bh	5	5	1.0	0	0.0	113.4	128.0	46.8	0.0
DIA	maxlfq__limma|bh|median|knn|fc0.5|a0.05|none|k2	maxlfq	median	knn	limma	0.5	bh	5	5	1.0	0	0.0	115.7	123.94000000000001	42.5	0.0
DIA	maxlfq__limma|bh|median|none|fc0.5|a0.05|none|k2	maxlfq	median	none	limma	0.5	bh	5	5	1.0	0	0.0	116.4	128.44	50.0	0.0
DIA	sum__limma|bh|none|none|fc0.5|a0.05|none|k2	sum	none	none	limma	0.5	bh	5	5	1.0	0	0.0	116.9	98.05999999999999	83.19999999999999	0.0
DIA	top3__deqms|bh|none|seqknn|fc0.5|a0.05|none|k2	top3	none	seqknn	deqms	0.5	bh	5	5	1.0	0	0.0	117.8	128.56	85.39999999999999	0.0
DIA	maxlfq__deqms|bh|median|impseq|fc0.5|a0.05|none|k2	maxlfq	median	impseq	deqms	0.5	bh	5	5	1.0	0	0.0	118.6	108.67999999999999	40.8	0.0
DIA	directlfq__limma|bh|median|qrilc|fc0.5|a0.05|none|k2	directlfq	median	qrilc	limma	0.5	bh	5	5	1.0	0	0.0	119.6	113.98000000000002	14.099999999999994	0.0
DIA	directlfq__limma|bh|median|minprob|fc0.5|a0.05|none|k2	directlfq	median	minprob	limma	0.5	bh	5	5	1.0	0	0.0	120.1	117.9	12.799999999999997	0.0
DIA	pibaq__limma|bh|none|knn|fc0.5|a0.05|none|k2	pibaq	none	knn	limma	0.5	bh	5	5	1.0	0	0.0	120.3	109.3	107.19999999999999	0.0
DIA	directlfq__limma|bh|median|mindet|fc0.5|a0.05|none|k2	directlfq	median	mindet	limma	0.5	bh	5	5	1.0	0	0.0	121.3	109.6	23.5	0.0
DIA	pibaq__limma|bh|none|seqknn|fc0.5|a0.05|none|k2	pibaq	none	seqknn	limma	0.5	bh	5	5	1.0	0	0.0	123.3	113.82000000000001	96.2	0.0
DIA	directlfq__limma|bh|median|seqknn|fc0.5|a0.05|none|k2	directlfq	median	seqknn	limma	0.5	bh	5	5	1.0	0	0.0	124.5	124.33999999999999	32.89999999999999	0.0
DIA	sum__limma|bh|none|impseqrob|fc0.5|a0.05|none|k2	sum	none	impseqrob	limma	0.5	bh	5	5	1.0	0	0.0	124.7	118.44000000000001	60.19999999999999	0.0
DIA	directlfq__limma|bh|median|knn|fc0.5|a0.05|none|k2	directlfq	median	knn	limma	0.5	bh	5	5	1.0	0	0.0	126.5	121.67999999999998	32.79999999999998	0.0
DIA	directlfq__limma|bh|median|impseqrob|fc0.5|a0.05|none|k2	directlfq	median	impseqrob	limma	0.5	bh	5	5	1.0	0	0.0	126.5	129.04000000000002	56.0	0.0
DIA	top3__limma|bh|none|qrilc|fc0.5|a0.05|none|k2	top3	none	qrilc	limma	0.5	bh	5	5	1.0	0	0.0	126.9	140.26000000000002	85.8	0.0
DIA	sum__limrots|bh|none|knn|fc0.5|a0.05|none|k2	sum	none	knn	limrots	0.5	bh	5	5	1.0	0	0.0	127.1	162.52	78.1	0.0
DIA	directlfq__limma|bh|median|none|fc0.5|a0.05|none|k2	directlfq	median	none	limma	0.5	bh	5	5	1.0	0	0.0	127.7	123.67999999999999	76.00000000000001	0.0
DIA	sum__limma|bh|none|mindet|fc0.5|a0.05|none|k2	sum	none	mindet	limma	0.5	bh	5	5	1.0	0	0.0	129.1	109.05999999999999	84.4	0.0
DIA	directlfq__limma|bh|median|impseq|fc0.5|a0.05|none|k2	directlfq	median	impseq	limma	0.5	bh	5	5	1.0	0	0.0	131.1	132.64	36.8	0.0
DIA	sum__limrots|bh|none|seqknn|fc0.5|a0.05|none|k2	sum	none	seqknn	limrots	0.5	bh	5	5	1.0	0	0.0	131.3	166.96	81.50000000000001	0.0
DIA	maxlfq__limma|bh|median|mindet|fc0.5|a0.05|none|k2	maxlfq	median	mindet	limma	0.5	bh	5	5	1.0	0	0.0	135.1	127.94000000000001	26.400000000000006	0.0
DIA	maxlfq__limma|bh|median|seqknn|fc0.5|a0.05|none|k2	maxlfq	median	seqknn	limma	0.5	bh	5	5	1.0	0	0.0	135.7	133.73999999999998	55.70000000000002	0.0
DIA	top3__limma|bh|none|knn|fc0.5|a0.05|none|k2	top3	none	knn	limma	0.5	bh	5	5	1.0	0	0.0	136.9	132.66	65.6	0.0
DIA	pibaq__deqms|bh|median|qrilc|fc0.5|a0.05|none|k2	pibaq	median	qrilc	deqms	0.5	bh	5	5	1.0	0	0.0	137.6	143.7	85.80000000000001	0.0
DIA	maxlfq__limma|bh|median|impseqrob|fc0.5|a0.05|none|k2	maxlfq	median	impseqrob	limma	0.5	bh	5	5	1.0	0	0.0	138.2	141.45999999999998	31.200000000000017	0.0
