setting	step	option_a	option_b	metric	paired_comparisons	option_a_wins	ties	option_b_wins	option_a_win_rate	median_difference_a_minus_b	mean_difference_a_minus_b
LFQ	imputation	impseq	knn	pauc001	240	85	1	154	0.3541666666666667	-0.0013751924665090787	-0.00011644797615652514
LFQ	imputation	impseq	knn	pauc005	240	123	0	117	0.5125	0.00029870027464057314	0.0008916981140251837
LFQ	imputation	impseq	knn	pauc01	240	127	0	113	0.5291666666666667	0.0003160358631400517	-0.00021201865974402185
LFQ	imputation	impseq	knn	nmcc	240	78	63	99	0.325	0.0	0.002601015724198327
LFQ	imputation	impseq	knn	gmean	240	149	64	27	0.6208333333333333	0.009258139352688724	0.014577155189236763
LFQ	imputation	impseq	mindet	pauc001	240	62	0	178	0.25833333333333336	-0.0011990296245915077	0.0007141457609485564
LFQ	imputation	impseq	mindet	pauc005	240	104	0	136	0.43333333333333335	-0.0010135756265990392	0.0037523057191627862
LFQ	imputation	impseq	mindet	pauc01	240	109	0	131	0.45416666666666666	-0.0004925059552603472	0.0032684941017074145
LFQ	imputation	impseq	mindet	nmcc	240	73	59	108	0.30416666666666664	0.0	-0.002417067583458033
LFQ	imputation	impseq	mindet	gmean	240	122	61	57	0.5083333333333333	0.0033004220328139433	0.024208466586294306
LFQ	imputation	impseq	minprob	pauc001	240	92	0	148	0.38333333333333336	-0.00029085063487968577	0.004451497569479915
LFQ	imputation	impseq	minprob	pauc005	240	126	0	114	0.525	0.0001138111852996837	0.007220052622306896
LFQ	imputation	impseq	minprob	pauc01	240	136	0	104	0.5666666666666667	0.0007266728565646918	0.007244920428136278
LFQ	imputation	impseq	minprob	nmcc	240	83	63	94	0.3458333333333333	0.0	-0.00023330524352922674
LFQ	imputation	impseq	minprob	gmean	240	137	63	40	0.5708333333333333	0.015122696862967078	0.03783057846527272
LFQ	imputation	impseq	none	pauc001	240	97	1	142	0.4041666666666667	-0.0006699264749739919	-0.008437141212306933
LFQ	imputation	impseq	none	pauc005	240	137	0	103	0.5708333333333333	0.002120967482346303	0.00755529065760944
LFQ	imputation	impseq	none	pauc01	240	148	0	92	0.6166666666666667	0.004777396314812832	0.014320908200975408
LFQ	imputation	impseq	none	nmcc	240	49	63	128	0.20416666666666666	-0.00075964146123636	7.399909664887091e-05
LFQ	imputation	impseq	none	gmean	240	159	63	18	0.6625	0.017917375303557262	0.02878866285684661
LFQ	imputation	impseq	qrilc	pauc001	240	120	0	120	0.5	2.0082701853441076e-06	0.01270982562538193
LFQ	imputation	impseq	qrilc	pauc005	240	155	0	85	0.6458333333333334	0.002404170735519129	0.01654773770927679
LFQ	imputation	impseq	qrilc	pauc01	240	156	0	84	0.65	0.002709878460961934	0.015055628031712252
LFQ	imputation	impseq	qrilc	nmcc	240	94	60	86	0.39166666666666666	0.0	0.0001968232256414959
LFQ	imputation	impseq	qrilc	gmean	240	135	63	42	0.5625	0.02553908467065663	0.05045325996560292
LFQ	imputation	impseq	seqknn	pauc001	240	77	2	161	0.32083333333333336	-0.0018136999014641275	-0.0022474000539459654
LFQ	imputation	impseq	seqknn	pauc005	240	96	0	144	0.4	-0.0007296150719540151	-0.0011426941806836578
LFQ	imputation	impseq	seqknn	pauc01	240	116	0	124	0.48333333333333334	-0.0001042041494487278	-0.00026865735414744184
LFQ	imputation	impseq	seqknn	nmcc	240	44	63	133	0.18333333333333332	-0.0011246172266813348	-0.006761819660029417
LFQ	imputation	impseq	seqknn	gmean	240	125	63	52	0.5208333333333334	0.0007028704172999944	0.0030307340428679763
LFQ	imputation	impseqrob	knn	pauc001	240	101	5	134	0.42083333333333334	-8.694922667532023e-05	-0.005589897948235375
LFQ	imputation	impseqrob	knn	pauc005	240	105	0	135	0.4375	-0.0003970999934356234	-0.009407337182851817
LFQ	imputation	impseqrob	knn	pauc01	240	97	0	143	0.4041666666666667	-0.0006230790581571721	-0.008321399022564784
LFQ	imputation	impseqrob	knn	nmcc	240	86	62	92	0.35833333333333334	0.0	-0.002690970422037434
LFQ	imputation	impseqrob	knn	gmean	240	112	63	65	0.4666666666666667	0.0	0.003753717443250368
LFQ	imputation	impseqrob	mindet	pauc001	240	77	0	163	0.32083333333333336	-0.0009157886485818834	-0.0047593042111302945
LFQ	imputation	impseqrob	mindet	pauc005	240	95	0	145	0.3958333333333333	-0.0022004186340999765	-0.006546729577714214
LFQ	imputation	impseqrob	mindet	pauc01	240	95	0	145	0.3958333333333333	-0.001953721090413585	-0.004840886261113345
LFQ	imputation	impseqrob	mindet	nmcc	240	59	58	123	0.24583333333333332	-0.0004787907126764801	-0.007709053729693794
LFQ	imputation	impseqrob	mindet	gmean	240	86	60	94	0.35833333333333334	0.0	0.01338502884030791
LFQ	imputation	impseqrob	minprob	pauc001	240	99	1	140	0.4125	-0.00027808261574741033	-0.0010219524025989338
LFQ	imputation	impseqrob	minprob	pauc005	240	116	0	124	0.48333333333333334	-0.00015997651339660912	-0.003078982674570106
LFQ	imputation	impseqrob	minprob	pauc01	240	114	0	126	0.475	-0.000313131805076583	-0.0008644599346844824
LFQ	imputation	impseqrob	minprob	nmcc	240	78	61	101	0.325	0.0	-0.005525291389764987
LFQ	imputation	impseqrob	minprob	gmean	240	107	62	71	0.44583333333333336	0.0	0.027007140719286324
